구분(1),구분(2),구분(3),구분(4),2023.03,2023.04,2023.05,2023.06,2023.07,2023.08
도시대기,전북,정읍,신태인,64,66,36,28,25,30
도시대기,전북,정읍,영파동,62,63,35,27,26,30
도시대기,전북,고창,고창읍,61,63,32,25,28*,27
도시대기,전북,고창,심원면,60,71,34,26,24,30
도시대기,전북,부안,부안읍,74,80,42,26,22,27
도시대기,전북,부안,계화면,66,74,38,24,18,23
도시대기,전북,김제,요촌동,69,74,40,29,21,24
도시대기,전북,김제,광활면,66,74,39,31,20,25
도시대기,전북,완주,고산면,64,60,32,26,20,23
도시대기,전북,완주,봉동읍,71,65,36,29,22,22
도시대기,전북,완주,구이면,65,56,32,24,21,23
도시대기,전북,진안,진안읍,64,59,33,24,20,20
도시대기,전북,무주,무주읍,58,59,34,25,24,22
도시대기,전북,순창,순창읍,60,55,33,28,19,25
도시대기,전북,장수,장수읍,59,57,34,23,17,21
도시대기,전남,화순,화순읍,53,57,29,21,18,19
도시대기,전남,여수,서강동,52,63,34,18,18,18
도시대기,전남,여수,월내동,58,65,37,24,26,23
도시대기,전남,여수,문수동,50,60,33,18,18,17
도시대기,전남,여수,여천동,41,57,31,18,20,17
도시대기,전남,여수,덕충동,43,57,37,19,21,19
도시대기,전남,여수,화양면,48,60,34,21*,19,17
도시대기,전남,여수,율촌면,52,60,35,22,22,19
도시대기,전남,여수,삼일동,51,60,28,19,18,17
도시대기,전남,광양,중동,64,69,44,29,27,22
도시대기,전남,광양,태인동,62,63,40,27,25,18
도시대기,전남,광양,봉강면,40,42,26,18,21,19
도시대기,전남,광양,광양읍,49,54,31,20,21,19
도시대기,전남,광양,진월면,47,57,34,23,24,21
도시대기,전남,순천,장천동,46,53,30,16,15,15
도시대기,전남,순천,연향동,45,51,33,17,15,15
도시대기,전남,순천,순천만,44,59,33,18,18,19
도시대기,전남,순천,호두리,56,66,39,23,22,20
도시대기,전남,순천,신대,51,58,35,21,21,18
도시대기,전남,목포,용당동,58,71,36,20,22,21
도시대기,전남,목포,부흥동,51,61,31,21,25,24
도시대기,전남,영암,영암읍,53,57,29,22,16,25
도시대기,전남,영암,대불,57,60,28,23,25,28
도시대기,전남,나주,빛가람동,58,60,34,27,26,28
도시대기,전남,담양,담양읍,74,75,46,32,23,29
도시대기,전남,장성,장성읍,58,58,28,19,16,22
도시대기,전남,해남,해남읍,49,53,21,22,22,26
도시대기,전남,영광,영광읍,57,67,34,24,23,24
