구분(1),구분(2),구분(3),구분(4),2023.03,2023.04,2023.05,2023.06,2023.07,2023.08
도시대기,경기도,용인,모현읍,0.0012,0.0012,0.0012,0.0008,0.0008,0.001
도시대기,경기도,용인,이동읍,0.0014,0.0011,0.0011,0.001,0.0009,0.0011
도시대기,경기도,용인,백암면,0.0013,0.001,0.0013,0.0012,0.0013,0.0009
도시대기,경기도,김포,사우동,0.0023,0.0015,0.0022,0.0022,0.0024,0.0019
도시대기,경기도,김포,고촌읍,0.003,0.0025,0.0027,0.0022,0.0026,0.0022
도시대기,경기도,김포,월곶면,0.0026,0.0027,0.0028,0.0029,0.0028,0.0027
도시대기,경기도,김포,한강신도시,0.0027,0.0025,0.0028,0.003,0.0028,0.0024
도시대기,경기도,오산,오산동,0.0029,0.0024,0.0023,0.0022,0.0021,0.002
도시대기,경기도,하남,신장동,0.0027,0.0023,0.0025,0.0027,0.0027,0.0029
도시대기,경기도,하남,미사,0.0025,0.0021,0.0022,0.0017,0.0015,0.0015
도시대기,경기도,화성,남양읍,0.0027,0.0026,0.0032,0.0024,0.0024,0.0027
도시대기,경기도,화성,향남,0.0038,0.0043,0.0041,0.0034,0.0035,0.0031*
도시대기,경기도,화성,동탄동,0.0043,0.0025,0.0025,0.0032,0.0032,0.0032
도시대기,경기도,화성,우정읍,0.0028,0.0029,0.0032,0.0029,0.0029,0.0033
도시대기,경기도,화성,청계동,0.0042,0.0025,0.0033,0.0036,0.0027,0.0025
도시대기,경기도,화성,새솔동,0.0028,0.0029,0.0029,0.0032,0.0031,0.0036
도시대기,경기도,화성,봉담읍,0.0027,0.0027,0.0027,0.0027,0.0031,0.003
도시대기,경기도,화성,서신면,0.0031,0.0032,0.0032,0.003,0.0029,0.0032
도시대기,경기도,양주,백석읍,0.0033,0.0028,0.0025,0.0024,0.003,0.0029
도시대기,경기도,양주,고읍,0.003,0.0029,0.0028,0.0028,0.0033,0.0033
도시대기,경기도,동두천,보산동,0.0028,0.0024,0.0026,0.0025,0.0026,0.0027
도시대기,경기도,안성,봉산동,0.0025,0.0022,0.0024,0.0019,0.0015,0.0016
도시대기,경기도,안성,공도읍,0.0023,0.0017,0.0012,0.0011,0.0009,0.001
도시대기,경기도,안성,죽산면,0.0019,0.0014,0.0013,0.0012,0.001,0.0012
도시대기,경기도,이천,창전동,0.0036,0.0031,0.0035,0.0024,0.0027,0.0027
도시대기,경기도,이천,장호원읍,0.0022,0.002,0.0022,0.0026,0.0027,0.003
도시대기,경기도,이천,부발읍,0.003,0.0034,0.0029,0.0025,0.0023,0.0026
도시대기,경기도,파주,금촌동,0.0024**,-,-,-,-,-
도시대기,경기도,파주,운정,0.0023,0.0021,0.0023,0.0024,0.0022,0.0019
도시대기,경기도,파주,파주읍,0.0029,0.0024,0.0023,0.0019,0.0016,0.0016
도시대기,경기도,포천,선단동,0.0035,0.0029,0.0029,0.0026,0.0025,0.0023
도시대기,경기도,포천,일동면,0.0028,0.0022,0.0021,0.002,0.002,0.0019
도시대기,경기도,여주,중앙동,0.0028,0.0024,0.003,0.0028,0.0023,0.0023
도시대기,경기도,여주,대신면,0.0025,0.0034,0.0023,0.0025,0.0018*,0.0024
도시대기,경기도,여주,가남읍,0.0028,0.0022,0.0024,0.0025,0.0026,0.0029
도시대기,경기도,연천,연천,0.0021,0.0017,0.0014,0.0013,0.0013,0.0012
도시대기,경기도,연천,전곡,0.0022,0.002,0.0016,0.0012,0.0011,0.0011
도시대기,경기도,가평,가평,0.0021,0.0012,0.0014,0.0011,0.001,0.001
도시대기,경기도,가평,설악면,0.0018,0.0012,0.0013,0.0012,0.0012,0.0012
도시대기,경기도,양평,양평읍,0.0018,0.0013,0.0012,0.0011,0.001,0.0014
도시대기,경기도,양평,용문면,0.003,0.0024,0.0023,0.0017,0.0016,0.002
도시대기,강원도,양구,양구읍,0.0021,0.002,0.002,0.0017,0.0019,0.002
도시대기,강원도,고성,상리,0.0017,0.0013,0.0017,0.0018,0.0016,0.0017
도시대기,강원도,정선,정선읍사무소,0.0024,0.002,0.002,0.002,0.0017,0.0018
도시대기,강원도,횡성,우천면,0.0017,0.0011,0.001,0.0011,0.001,0.0010**
도시대기,강원도,횡성,횡성읍,0.0026,0.0017,0.0016,0.0012,0.0012,0.0021
도시대기,강원도,춘천,중앙로,0.0026,0.002,0.0021,0.0015,0.0012,0.0011
도시대기,강원도,춘천,석사동,0.0018,0.0012,0.0016,0.0013,-,-
도시대기,강원도,춘천,신사우동,0.0023,0.0018,0.0017,0.0013,0.0017,0.002
도시대기,강원도,강릉,주문진읍,0.002,0.0016,0.0013,0.001,0.0011,0.0012
